CONAME,address,lat,lon,distance
FRANKLIN ELECTRIC CO INC,"9255 Coverdale Road, Fort Wayne, IN, 46809",40.99954,-85.22136,736.8387827248247 km
FRANKLIN RESOURCES INC,"One Franklin Parkway, San Mateo, CA, 94403",37.5416,-122.29358,3924.708326240138 km
FULLER (H. B.) CO,"1200 Willow Lake Boulevard, PO Box 64683, Saint Paul, MN, 55164",45.04558,-93.05297,1489.058702573296 km
G&K SERVICES INC  -CL A,"5995 Opus Parkway, Minnetonka, MN, 55343",44.89626,-93.40647,1509.1136553189265 km
GATX CORP,"222 West Adams Street, Chicago, IL, 60606",41.879670000000004,-87.63446,957.8536007608274 km
ARTHUR J GALLAGHER & CO,"The Gallagher Centre, 2 Pierce Place, Itasca, IL, 60143",41.98733,-88.01483,991.5041364957384 km
TEGNA INC,"7950 Jones Branch Drive, McLean, VA, 22107",38.93229,-77.21849,16.05810604266207 km
GAP INC,"2 Folsom Street, San Francisco, CA, 94105",37.790859999999995,-122.39103,3925.1607000028275 km
AEROJET ROCKETDYNE HOLDINGS,"2001 Aerojet Road, Rancho Cordova, CA, 95742",38.62486,-121.20436000000001,3800.319341111586 km
GENERAL DYNAMICS CORP,"2941 Fairview Park Drive, Suite 100, Falls Church, VA, 22042",38.86947,-77.21478,15.594146149231776 km
GENERAL ELECTRIC CO,"3135 Easton Turnpike, Fairfield, CT, 06828-0001",41.21669,-73.25293,413.01355089490215 km
GENERAL MILLS INC,"Number One General Mills Boulevard, Minneapolis, MN, 55426",44.97596,-93.39067,1511.0685263211487 km
GENERAL MOTORS CO,"300 Renaissance Center, Detroit, MI, 48265",42.3302,-83.04016999999999,634.72238519392 km
SPX CORP,"13320 Ballantyne Corporate Place, Charlotte, NC, 28277",35.06084,-80.84558,544.1149612855935 km
GENESCO INC,"Genesco Park, 1415 Murfreesboro Road, Nashville, TN, 37217",36.11183,-86.69192,907.2398930856643 km
GENTEX CORP,"600 North Centennial Street, Zeeland, MI, 49464",42.826570000000004,-86.01503000000001,872.8532841328754 km
GENUINE PARTS CO,"2999 Circle 75 Parkway, Atlanta, GA, 30339",33.89541,-84.46972,866.9251969136086 km
GETTY REALTY CORP,"Two Jericho Plaza, Suite 110, Wing C, Jericho, NY, 11753",40.78598,-73.54751,364.9817316727452 km
GLATFELTER,"96 South George Street, Suite 520, York, PA, 17401",39.96119,-76.72739,121.07943111554917 km
GOODYEAR TIRE & RUBBER CO,"200 Innovation Way, Akron, OH, 44316",41.05877,-81.47612,448.52275393013286 km
GRACO INC,"88 -11th Avenue Northeast, Minneapolis, MN, 55413",44.99752,-93.26924,1502.982291972323 km
GRAINGER (W W) INC,"100 Grainger Parkway, Lake Forest, IL, 60045",42.23677,-87.91291,991.77751623389 km
GREIF INC  -CL A,"425 Winter Road, Delaware, OH, 43015",40.22722,-83.04847,537.0115320134529 km
GULFMARK OFFSHORE INC,"842 West Sam Houston Parkway North, Suite 400, Houston, TX, 77024",29.78045,-95.56206,1976.142534484189 km
HALLIBURTON CO,"3000 North Sam Houston Parkway East, Houston, TX, 77032",29.938029999999998,-95.34012,1948.536861792432 km
HARRIS CORP,"1025 West NASA Boulevard, Melbourne, FL, 32919",28.09021,-80.63807,1244.1842337324574 km
HARSCO CORP,"350 Poplar Church Road, Camp Hill, PA, 17011",40.26032,-76.91031,151.69130640315686 km
HASBRO INC,"1027 Newport Avenue, Pawtucket, RI, 2861",41.88369,-71.35231,585.4864120611143 km
HAVERTY FURNITURE,"780 Johnson Ferry Road, Suite 800, Atlanta, GA, 30342",33.90718,-84.36216,858.6685769023197 km
HAWAIIAN ELECTRIC INDS,"1001 Bishop Street, Suite 2900, Honolulu, HI, 96813",21.30858,-157.86058,7783.983232711504 km
