,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
1618,12/22/1989,0.616903146,0.617665225
1619,12/25/1989,0.616903146,0.617665225
1620,12/26/1989,0.616903146,0.617665225
1621,12/27/1989,0.615195325,0.615763547
1622,12/28/1989,0.620155039,0.620732464
1623,12/29/1989,0.619578686,0.620347395
1624,1/1/1990,0.619578686,0.620347395
1625,1/2/1990,0.62053987,0.620925179
1626,1/3/1990,0.62150404,0.621890547
1627,1/4/1990,0.613308801,0.61368518
1628,1/5/1990,0.610500611,0.610873549
1629,1/8/1990,0.604777744,0.605143722
1630,1/9/1990,0.604412209,0.604777744
1631,1/10/1990,0.601684717,0.60204696
1632,1/11/1990,0.60331825,0.603682463
1633,1/12/1990,0.598086124,0.598444045
1634,1/15/1990,0.60114217,0.601503759
1635,1/16/1990,0.603682463,0.604047116
1636,1/17/1990,0.606244316,0.606612072
1637,1/18/1990,0.607533414,0.607902736
1638,1/19/1990,0.606980273,0.607348922
1639,1/22/1990,0.609756098,0.610128127
1640,1/23/1990,0.606060606,0.606428138
1641,1/24/1990,0.604047116,0.604412209
1642,1/25/1990,0.603864734,0.604229607
1643,1/26/1990,0.602591142,0.602954477
1644,1/29/1990,0.595308965,0.595663569
1645,1/30/1990,0.594177065,0.594530321
1646,1/31/1990,0.594883998,0.595238095
1647,2/1/1990,0.593295758,0.593647967
1648,2/2/1990,0.59435364,0.594707107
1649,2/5/1990,0.589448865,0.58979652
1650,2/6/1990,0.587544066,0.587889477
1651,2/7/1990,0.588339119,0.588685465
1652,2/8/1990,0.592592593,0.592943967
1653,2/9/1990,0.591016548,0.591366056
1654,2/12/1990,0.58910162,0.589448865
1655,2/13/1990,0.591366056,0.591715976
1656,2/14/1990,0.589275192,0.589622642
1657,2/15/1990,0.589970501,0.590318772
1658,2/16/1990,0.589970501,0.590318772
1659,2/19/1990,0.58702671,0.587371512
1660,2/20/1990,0.586682312,0.58702671
1661,2/21/1990,0.583430572,0.583771162
1662,2/22/1990,0.583090379,0.583430572
1663,2/23/1990,0.585480094,0.585823081
1664,2/26/1990,0.590493062,0.59084195
1665,2/27/1990,0.591016548,0.591366056
1666,2/28/1990,0.591366056,0.591715976
1667,3/1/1990,0.600528465,0.600889316
1668,3/2/1990,0.605143722,0.605510142
1669,3/5/1990,0.610873549,0.611246944
1670,3/6/1990,0.606060606,0.606428138
1671,3/7/1990,0.609756098,0.610128127
1672,3/8/1990,0.608272506,0.608642727
1673,3/9/1990,0.61842919,0.618811881
1674,3/12/1990,0.620925179,0.621310966
1675,3/13/1990,0.624024961,0.624414611
1676,3/14/1990,0.621118012,0.62150404
1677,3/15/1990,0.617474529,0.61785604
1678,3/16/1990,0.615877317,0.616256856
1679,3/19/1990,0.62042437,0.620809536
1680,3/20/1990,0.620039683,0.62042437
1681,3/21/1990,0.628140704,0.628535512
1682,3/22/1990,0.624609619,0.625
1683,3/23/1990,0.62305296,0.623441397
1684,3/26/1990,0.619578686,0.619962802
1685,3/27/1990,0.614817092,0.615195325
1686,3/28/1990,0.613120785,0.613496933
1687,3/29/1990,0.611995104,0.612369871
1688,3/30/1990,0.607348922,0.607718019
1689,4/2/1990,0.613308801,0.61368518
1690,4/3/1990,0.611060189,0.611433812
1691,4/4/1990,0.609013398,0.609384522
1692,4/5/1990,0.609013398,0.609384522
1693,4/6/1990,0.610314312,0.610687023
1694,4/9/1990,0.609384522,0.609756098
1695,4/10/1990,0.611433812,0.611807892
1696,4/11/1990,0.608198516,0.608568647
1697,4/12/1990,0.608642727,0.609013398
1698,4/13/1990,0.608642727,0.609013398
1699,4/16/1990,0.608642727,0.609013398
1700,4/17/1990,0.613496933,0.613873542
1701,4/18/1990,0.610873549,0.611246944
1702,4/19/1990,0.60845756,0.608828006
1703,4/20/1990,0.611060189,0.611433812
1704,4/23/1990,0.611060189,0.611433812
1705,4/24/1990,0.611433812,0.611807892
1706,4/25/1990,0.610687023,0.611060189
1707,4/26/1990,0.611807892,0.61218243
1708,4/27/1990,0.610687023,0.611060189
1709,4/30/1990,0.610687023,0.611060189
1710,5/1/1990,0.609570253,0.609942056
1711,5/2/1990,0.60845756,0.608828006
1712,5/3/1990,0.608642727,0.609013398
1713,5/4/1990,0.602409639,0.602772755
1714,5/7/1990,0.602409639,0.602772755
1715,5/8/1990,0.598623167,0.598981731
1716,5/9/1990,0.595415302,0.595770033
1717,5/10/1990,0.595770033,0.596125186
1718,5/11/1990,0.594530321,0.594883998
1719,5/14/1990,0.594530321,0.594883998
1720,5/15/1990,0.595947557,0.596302922
1721,5/16/1990,0.595592615,0.595947557
1722,5/17/1990,0.59126116,0.591610957
1723,5/18/1990,0.591366056,0.591715976
1724,5/21/1990,0.591366056,0.591715976
1725,5/22/1990,0.591366056,0.591715976
1726,5/23/1990,0.590493062,0.59084195
1727,5/24/1990,0.59084195,0.59119125
1728,5/25/1990,0.591540964,0.591891092
1729,5/28/1990,0.591540964,0.591891092
1730,5/29/1990,0.58979652,0.590144585
1731,5/30/1990,0.589622642,0.589970501
1732,5/31/1990,0.596480763,0.596836765
1733,6/1/1990,0.59347181,0.594000594
1734,6/4/1990,0.597014925,0.597371565
1735,6/5/1990,0.594000594,0.59435364
1736,6/6/1990,0.592066311,0.592417062
1737,6/7/1990,0.592066311,0.592417062
1738,6/8/1990,0.594177065,0.594530321
1739,6/11/1990,0.59311981,0.59347181
1740,6/12/1990,0.58719906,0.587544066
1741,6/13/1990,0.585651537,0.585994726
1742,6/14/1990,0.585823081,0.586166471
1743,6/15/1990,0.58685446,0.58719906
1744,6/18/1990,0.583260426,0.583600817
1745,6/19/1990,0.581057525,0.581395349
1746,6/20/1990,0.580046404,0.580383053
1747,6/21/1990,0.57964294,0.579979121
1748,6/22/1990,0.578034682,0.578368999
1749,6/25/1990,0.577700751,0.578034682
1750,6/26/1990,0.575871005,0.576202823
1751,6/27/1990,0.573558933,0.573888092
1752,6/28/1990,0.574580556,0.574910889
1753,6/29/1990,0.572573719,0.572901747
1754,7/2/1990,0.567697985,0.568020449
1755,7/3/1990,0.563063063,0.563380282
1756,7/4/1990,0.559910414,0.56022409
1757,7/5/1990,0.561167228,0.561482313
1758,7/6/1990,0.559284116,0.55959709
1759,7/9/1990,0.553403431,0.553709856
1760,7/10/1990,0.550660793,0.550964187
1761,7/11/1990,0.555709919,0.556018905
1762,7/12/1990,0.558971492,0.559284116
1763,7/13/1990,0.552638851,0.553097345
1764,7/16/1990,0.554477405,0.554785021
1765,7/17/1990,0.552486188,0.552791598
1766,7/18/1990,0.550964187,0.55157198
1767,7/19/1990,0.550509221,0.550812448
1768,7/20/1990,0.550812448,0.55111601
1769,7/23/1990,0.548757065,0.549058365
1770,7/24/1990,0.547645126,0.547945205
1771,7/25/1990,0.55233361,0.552638851
1772,7/26/1990,0.551419906,0.551724138
1773,7/27/1990,0.544662309,0.544959128
